id,activity,api,cputime,day,filesize,language,latency,memory,platform,time
629,upload,multicloud,3.56,6/24/16,155,java,949,212876,aws,00:01:11
630,upload,native,1.64,6/24/16,155,java,75,58624,azure,00:01:12
631,upload,native,2.11,6/24/16,155,java,90,67232,azure,00:01:13
632,upload,multicloud,3.56,6/24/16,155,java,936,210752,aws,00:01:13
633,upload,multicloud,6.59,6/24/16,155,java,946,104992,azure,00:01:14
634,upload,native,1.81,6/24/16,155,java,77,59460,azure,00:01:14
635,upload,multicloud,3.54,6/24/16,155,java,915,213716,aws,00:01:16
636,upload,native,1.87,6/24/16,155,java,68,58360,azure,00:01:16
637,upload,native,1.85,6/24/16,155,java,338,58992,azure,00:01:17
638,upload,multicloud,6.92,6/24/16,155,java,1108,106244,azure,00:01:18
639,upload,multicloud,3.36,6/24/16,155,java,816,207132,aws,00:01:18
640,upload,native,1.95,6/24/16,155,java,84,58984,azure,00:01:19
641,upload,multicloud,3.39,6/24/16,155,java,886,203732,aws,00:01:20
642,upload,native,1.93,6/24/16,155,java,168,59020,azure,00:01:20
643,upload,native,1.92,6/24/16,155,java,60,58800,azure,00:01:22
